Department,YearsExperience,TrainingHours,PerformanceScore,Satisfaction
Engineering,9.8,41,91,Medium
Engineering,11.2,29,75,Low
Engineering,6.6,35,89,High
Engineering,0.9,25,94,High
Engineering,3.7,13,76,Low
Engineering,12.2,36,84,Low
Engineering,14.4,40,92,Low
Engineering,12.8,28,80,High
Engineering,8.3,40,89,High
Engineering,12.5,27,78,High
Engineering,10.7,42,92,Medium
Engineering,1.7,23,88,Medium
Engineering,9.7,29,91,Medium
Engineering,4.4,37,86,High
Sales,3.0,24,70,Medium
Sales,14.8,36,71,High
Sales,12.7,40,74,Low
Sales,5.1,27,82,High
Sales,13.2,35,89,Medium
Sales,13.8,35,80,Medium
Sales,8.6,32,88,High
Sales,6.3,35,100,High
Sales,1.8,26,77,High
Sales,12.0,35,80,Medium
Sales,14.9,21,70,High
Sales,0.7,19,62,Medium
Sales,4.4,24,72,Medium
Sales,7.1,46,77,Medium
Support,7.8,39,88,High
Support,4.8,20,61,Low
Support,11.6,24,66,Medium
Support,0.5,20,69,High
Support,13.2,43,70,Low
Support,13.2,43,74,Medium
Support,1.5,23,57,Low
Support,7.4,25,68,High
Support,6.6,32,80,High
Support,3.4,15,88,High
Support,6.9,26,69,Medium
Support,5.4,23,66,Medium
Support,1.5,18,64,High
Support,13.0,45,78,High
Marketing,3.6,38,95,High
Marketing,7.4,34,69,Low
Marketing,1.9,15,79,Medium
Marketing,11.1,26,61,Low
Marketing,6.3,21,89,Medium
Marketing,3.3,17,78,Medium
Marketing,4.1,34,78,High
Marketing,8.5,62,98,High
Marketing,14.6,56,82,Low
Marketing,7.5,33,88,Low
Marketing,6.0,35,81,High
Marketing,7.1,13,83,High
Marketing,8.6,32,77,Medium
Marketing,14.5,33,77,High
