SquareFeet,Bedrooms,AgeYears,DistanceToCity_km,Neighborhood,Price
1932,3,8,9.8,Suburb,318000
1792,4,29,0.9,Downtown,293600
1603,4,13,1.2,Downtown,279700
1945,3,33,11.0,Suburb,268100
1684,2,6,4.7,Downtown,271800
2858,6,0,28.4,Rural,427700
1958,3,31,13.2,Suburb,301000
2278,4,24,4.5,Downtown,361000
1076,3,37,5.3,Suburb,167900
1914,5,32,9.9,Suburb,289200
1130,3,10,2.6,Downtown,202500
1663,3,1,2.9,Downtown,290000
1750,3,11,10.9,Suburb,283400
1956,4,21,0.5,Downtown,292900
2458,5,19,9.7,Suburb,353200
2282,5,13,21.6,Rural,308900
1622,3,23,0.5,Downtown,267900
2121,4,14,8.4,Suburb,345300
2401,4,37,0.8,Downtown,356300
1428,2,26,15.4,Suburb,220000
686,2,0,1.5,Downtown,152200
2360,4,30,4.6,Suburb,364800
2415,5,8,27.4,Rural,355300
1920,3,32,0.5,Downtown,308400
2294,5,27,1.7,Downtown,344000
1255,1,18,9.2,Suburb,200500
1516,3,17,4.3,Suburb,247800
2079,4,13,4.9,Downtown,337700
1389,3,24,5.6,Suburb,222100
2260,5,33,26.7,Rural,317400
2032,4,26,28.6,Rural,252400
1725,3,24,30.1,Rural,227500
1835,5,14,2.8,Downtown,290700
1738,3,17,2.1,Downtown,268100
1214,1,18,0.5,Downtown,223900
1652,3,8,13.1,Suburb,257200
2236,5,36,2.5,Downtown,371000
1760,4,28,34.3,Rural,234300
2466,5,34,0.8,Downtown,376900
1852,4,10,30.4,Rural,254300
